player_name	team	position	foot	goals	agg_position
Michaël Pereira	Mallorca	Center Attacking Midfield	Right Foot	0.25	Attacking Midfield
Pedro Tonon Geromel	Mallorca	Right Center Back	Right Foot	0.0	Center Back
Emilio Nsue López	Mallorca	Right Wing	Right Foot	0.2	Right Wing
Anderson Conceição Benedito	Mallorca	Left Center Back	Left Foot	0.0	Center Back
Jonas Gonçalves Oliveira	Valencia	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Aly Cissokho	Valencia	Left Back	Left Foot	0.0	Left Back
Alberto Facundo Costa 	Valencia	Right Center Midfield	Left Foot	0.0	Center Midfield
Juan Bernat Velasco	Valencia	Left Back	Left Foot	0.0	Left Back
João Pedro da Silva Pereira	Valencia	Right Back	Right Foot	0.0	Right Back
Antonio Rodríguez Dovale	Celta Vigo	Left Back	Left Foot	0.0	Left Back
Chu-Young Park	Celta Vigo	Center Forward	Right Foot	0.0	Striker
Jonathan Vila Pereira	Celta Vigo	Right Center Back	Right Foot	0.0	Center Back
Andrés José Túñez Arceo	Celta Vigo	Left Center Back	Left Foot	0.0	Center Back
Alejandro López Sánchez	Celta Vigo	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Borja Oubiña Meléndez	Celta Vigo	Left Defensive Midfield	Right Foot	0.1666666666666666	Defensive Midfield
Joel Nathaniel Campbell Samuels	Costa Rica	Center Forward	Left Foot	0.0	Striker
Álvaro Vadillo Cifuentes	Real Betis	Right Wing	Right Foot	0.1666666666666666	Right Wing
Adrián San Miguel del Castillo	Real Betis	Goalkeeper	Right Foot	0.0	Goalkeeper
Alejandro Martínez Sánchez	Real Betis	Left Back	Left Foot	0.0	Left Back
Emmanuel Nosakhare Igiebor	Real Betis	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Dorlan Mauricio Pabón Ríos	Real Betis	Left Wing	Right Foot	0.5	Left Wing
Antonio Floro Flores	Granada	Center Forward	Right Foot	0.0	Striker
Borja Gómez Pérez	Granada	Left Center Back	Left Foot	0.0	Center Back
Gabriel Andrei Torje	Granada	Right Wing	Right Foot	0.0	Right Wing
Yacine Brahimi	Granada	Center Attacking Midfield	Right Foot	0.3333333333333333	Attacking Midfield
Alexandre Dimitri Song-Billong	Barcelona	Center Defensive Midfield	Right Foot	0.0344827586206896	Defensive Midfield
Francesc Fàbregas i Soler	Barcelona	Left Center Midfield	Right Foot	0.2439024390243902	Center Midfield
Víctor Pérez Alonso	Real Valladolid	Left Center Midfield	Right Foot	0.0	Center Midfield
Daniel Hernández Santos	Real Valladolid	Goalkeeper	Right Foot	0.0	Goalkeeper
Alexis Alejandro Sánchez Sánchez	Barcelona	Right Wing	Right Foot	0.3866666666666666	Right Wing
William Silva de Carvalho	Portugal	Left Center Midfield	Right Foot	0.0	Center Midfield
Yeremi Jesús Pino Santos	Villarreal	Right Midfield	Left Foot	0.0	Right Wing
Juan Marcos Foyth	Villarreal	Right Back	Right Foot	0.0	Right Back
Alberto Moreno Pérez	Sevilla	Left Back	Left Foot	0.2	Left Back
Etienne Capoue	Villarreal	Right Center Midfield	Right Foot	0.0	Center Midfield
Luis Miguel Sánchez Benítez	Elche	Left Center Midfield	Right Foot	0.0	Center Midfield
Guido Marcelo Carrillo	Leganés	Center Forward	Right Foot	0.0	Striker
José Antonio Morente Oliva	Elche	Left Wing	Right Foot	0.0	Left Wing
Miguel Ángel Garrido Cifuentes	Elche	Right Wing Back	Right Foot	0.0	Right Back
Omenuke Mfulu	Elche	Left Center Midfield	Right Foot	0.0	Center Midfield
Emiliano Ariel Rigoni	Elche	Left Wing	Left Foot	0.0	Left Wing
Edgar Badía Guardiola	Elche	Goalkeeper	Right Foot	0.0	Goalkeeper
José Manuel Sánchez Guillén	Elche	Left Center Back	Left Foot	0.0	Center Back
Gonzalo Cacicedo Verdú	Elche	Center Back	Right Foot	0.0	Center Back
José Raúl Gutiérrez Parejo	Elche	Right Center Midfield	Right Foot	0.0	Center Midfield
Pere Milla Peña	Elche	Right Wing	Left Foot	0.0	Right Wing
Jon Ander Garrido Moracia	Cádiz	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Salvador Sánchez Ponce	Cádiz	Right Midfield	Right Foot	0.0	Right Wing
Álvaro Juan Cruz Armada	Osasuna	Left Midfield	Left Foot	0.0	Left Wing
Iñigo Pérez Soto	Athletic Club	Left Center Midfield	Left Foot	0.0	Center Midfield
Unai García Lugea	Osasuna	Right Center Back	Right Foot	0.0	Center Back
Asier Villalibre Molina	Athletic Club	Center Forward	Left Foot	0.0	Striker
Óscar Rodríguez Arnaiz	Leganés	Center Attacking Midfield	Right Foot	0.25	Attacking Midfield
Karim Rekik	Sevilla	Left Center Back	Left Foot	0.0	Center Back
Alejandro Darío Gómez	Sevilla	Right Wing	Right Foot	0.0	Right Wing
Waldo Rubio Martín	Real Valladolid	Left Center Forward	Right Foot	0.0	Striker
Saidy Janko	Real Valladolid	Right Wing Back	Right Foot	0.0	Right Back
Borja Sainz Eguskiza	Deportivo Alavés	Left Center Forward	Right Foot	0.0	Striker
Alberto Rodríguez Baró	Deportivo Alavés	Right Center Back	Right Foot	0.0	Center Back
Jon Morcillo Conesa	Athletic Club	Left Center Forward	Left Foot	0.0	Striker
Unai Simón Mendibil	Spain	Goalkeeper	Right Foot	0.0	Goalkeeper
Unai Vencedor Paris	Athletic Club	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Bobby Adekanye	Cádiz	Left Midfield	Not Specified	0.0	Left Wing
Iván Alejo Peralta	Cádiz	Right Midfield	Right Foot	0.0	Right Wing
Pedro Alcalá Guirado	Girona	Right Center Back	Right Foot	0.0	Center Back
Rafael Jiménez Jarque	Cádiz	Right Center Back	Right Foot	0.0	Center Back
Yann Bodiger	Cádiz	Right Center Midfield	Right Foot	0.0	Center Midfield
Marcos Mauro López Gutiérrez	Cádiz	Left Center Back	Right Foot	0.0	Center Back
Isaac Carcelén Valencia	Cádiz	Right Back	Right Foot	0.0	Right Back
Jeremías Ledesma	Cádiz	Goalkeeper	Right Foot	0.0	Goalkeeper
Luis Alfonso Espino García	Cádiz	Left Back	Left Foot	0.0	Left Back
Jens Jønsson	Cádiz	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Alejandro Fernández Iglesias	Cádiz	Center Attacking Midfield	Right Foot	0.3333333333333333	Attacking Midfield
Alberto Perea Correoso	Cádiz	Left Center Midfield	Right Foot	0.0	Center Midfield
Jairo Izquierdo González	Cádiz	Left Midfield	Left Foot	0.0	Left Wing
Enric Gallego Puigsech	Osasuna	Left Center Forward	Head	0.0	Striker
Ante Budimir	Mallorca	Left Center Forward	Left Foot	0.4	Striker
Lucas Torró Marset	Osasuna	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Sergio Herrera Pirón	Osasuna	Goalkeeper	Right Foot	0.0	Goalkeeper
Ignacio Vidal Miralles	Osasuna	Right Back	Right Foot	0.0	Right Back
Manuel Sánchez De La Peña	Osasuna	Left Back	Left Foot	0.0	Left Back
Jon Moncayola Tollar	Osasuna	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Aridane Hernández Umpiérrez	Osasuna	Right Center Back	Right Foot	0.0	Center Back
Enrique Barja Afonso	Osasuna	Left Center Forward	Right Foot	0.0	Striker
Lorenzo Jesús Morón García	Real Betis	Center Forward	Right Foot	0.4	Striker
Guido Rodríguez	Real Betis	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Rodrigo Sánchez Rodriguez	Real Betis	Left Wing	Left Foot	0.0	Left Wing
Emerson Aparecido Leite de Souza Junior	Real Betis	Right Back	Right Foot	0.0	Right Back
Joel Robles Blázquez	Real Betis	Goalkeeper	Right Foot	0.0	Goalkeeper
Alejandro Moreno Lopera	Real Betis	Left Back	Left Foot	0.0	Left Back
Aitor Ruibal García	Real Betis	Right Wing	Right Foot	0.0	Right Wing
Paul Edgar Akouokou	Real Betis	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Nabil Fekir	France	Center Attacking Midfield	Left Foot	0.125	Attacking Midfield
Borja Iglesias Quintas	Espanyol	Center Forward	Right Foot	0.25	Striker
Éder Gabriel Militão	Real Madrid	Right Center Back	Right Foot	0.0	Center Back
Sergio Guardiola Navarro	Real Valladolid	Right Center Forward	Left Foot	0.0	Striker
Enrique Pérez Muñoz	Real Valladolid	Center Attacking Midfield	Left Foot	0.0	Attacking Midfield
Laureano Antonio Villa Suárez	Real Valladolid	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Javier Sánchez de Felipe	Real Valladolid	Left Center Back	Right Foot	0.0	Center Back
José Ignacio Martínez García	Real Valladolid	Left Back	Left Foot	0.0	Left Back
Óscar Plano Pedreño	Real Valladolid	Left Center Forward	Left Foot	0.0	Striker
Joaquín Fernández Moreno	Real Valladolid	Right Center Back	Right Foot	0.0	Center Back
Pablo Hervías Ruiz	Real Valladolid	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
João Pedro Neves Filipe	Real Valladolid	Right Midfield	Right Foot	0.0	Right Wing
Rubén Alcaraz Jiménez	Real Valladolid	Left Center Midfield	Right Foot	0.0	Center Midfield
Shon Zalman Weissman	Real Valladolid	Right Center Forward	Right Foot	0.0	Striker
Marcos André de Sousa Mendonça	Real Valladolid	Left Center Forward	Not Specified	0.0	Striker
Robert Navarro Muñoz	Real Sociedad	Right Center Midfield	Right Foot	0.0	Center Midfield
Modibo Sagnan	Real Sociedad	Center Back	Left Foot	0.0	Center Back
Ander Barrenetxea Muguruza	Real Sociedad	Left Center Back	Right Foot	0.2	Center Back
Martín Zubimendi Ibáñez	Real Sociedad	Center Back	Right Foot	0.0	Center Back
Andoni Gorosabel Espinosa	Real Sociedad	Right Back	Right Foot	0.0	Right Back
Martín Merquelanz Castellanos	Real Sociedad	Left Wing Back	Left Foot	0.0	Left Back
Ander Guevara Lajo	Real Sociedad	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Mikel Merino Zazón	Real Sociedad	Left Center Midfield	Left Foot	0.0	Center Midfield
Alejandro Remiro Gargallo	Real Sociedad	Goalkeeper	Right Foot	0.0	Goalkeeper
Robin Aime Robert Le Normand	Real Sociedad	Left Center Back	Right Foot	0.0	Center Back
Alexander Isak	Real Sociedad	Left Center Forward	Right Foot	0.125	Striker
José Antonio Miranda Boacho	Getafe	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Amankwaa Akurugu	Getafe	Left Back	Left Foot	0.0	Left Back
Sabit Abdulai	Getafe	Right Center Midfield	Right Foot	0.0	Center Midfield
Sofian Chakla	Getafe	Left Center Back	Right Foot	0.0	Center Back
José Manuel Rodríguez Benito	Getafe	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Juan Antonio Iglesias Sánchez	Getafe	Right Wing	Right Foot	0.0	Right Wing
Francisco Javier Hidalgo Gómez	Levante	Right Midfield	Right Foot	0.0	Right Wing
Nikola Vukčević	Levante	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
José Ramiro Funes Mori	Villarreal	Center Back	Left Foot	0.0	Center Back
Takefusa Kubo	Mallorca	Right Midfield	Left Foot	0.0	Right Wing
Pervis Josué Estupiñán Tenorio	Villarreal	Left Back	Left Foot	0.0	Left Back
Samuel Chimerenka Chukwueze	Villarreal	Right Midfield	Left Foot	0.3333333333333333	Right Wing
Pau Francisco Torres	Spain	Left Center Back	Left Foot	0.0	Center Back
Francis Coquelin	Valencia	Left Center Midfield	Right Foot	0.0	Center Midfield
Shinji Okazaki	Japan	Center Forward	Right Foot	0.0	Striker
Juan Carlos Real Ruiz	Huesca	Right Back	Right Foot	0.0	Right Back
Lucas René Olaza Catrofe	Celta Vigo	Left Center Back	Left Foot	0.3333333333333333	Center Back
Gabriel Veiga Novas	Celta Vigo	Right Center Midfield	Right Foot	0.0	Center Midfield
José Manuel Fontán Mondragón	Celta Vigo	Left Wing Back	Left Foot	0.0	Left Back
Renato Fabrizio Tapia Cortijo	Peru	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Joseph Aidoo	Celta Vigo	Right Center Back	Right Foot	0.0	Center Back
Rodrygo Silva de Goes	Real Madrid	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Vinícius José Paixão de Oliveira Júnior	Real Madrid	Left Midfield	Right Foot	0.25	Left Wing
Ferland Mendy	Real Madrid	Left Back	Left Foot	0.0	Left Back
Thibaut Courtois	Belgium	Goalkeeper	Left Foot	0.0	Goalkeeper
Carlos Fernández Luna	Granada	Center Forward	Left Foot	0.0	Striker
Nemanja Gudelj	Sevilla	Center Back	Right Foot	0.0	Center Back
Youssef En-Nesyri	Leganés	Center Forward	Left Foot	0.2857142857142857	Striker
Jesús Joaquín Fernández Sáez de la Torre	Sevilla	Left Wing	Left Foot	0.0	Left Wing
Jules Koundé	Sevilla	Right Center Back	Right Foot	0.0	Center Back
Fernando Francisco Reges	Sevilla	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Lucas Ariel Ocampos	Sevilla	Right Wing	Right Foot	0.0	Right Wing
Marcos Javier Acuña	Argentina	Left Back	Left Foot	0.0	Left Back
Diego Carlos Santos Silva	Sevilla	Left Center Back	Right Foot	0.0	Center Back
Luuk de Jong	Sevilla	Center Forward	Right Foot	0.1666666666666666	Striker
Víctor Mollejo Carpintero	Getafe	Left Center Forward	Not Specified	0.0	Striker
David Timor Copoví	Osasuna	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Nemanja Maksimović	Getafe	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Marc Cucurella Saseta	Getafe	Left Midfield	Left Foot	0.2	Left Wing
Mathías Olivera Miramontes	Getafe	Left Back	Left Foot	0.0	Left Back
Jaime Mata Arnaiz	Getafe	Left Center Forward	Right Foot	0.6666666666666666	Striker
Juan Camilo Hernández Suárez	Mallorca	Left Center Forward	Right Foot	0.25	Striker
Tomas Franco Tavares	Deportivo Alavés	Right Midfield	Right Foot	0.0	Right Wing
Martín Aguirregabiria Padilla	Deportivo Alavés	Right Back	Right Foot	0.0	Right Back
Rodrigo Andrés Battaglia	Deportivo Alavés	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Anssumane Fati	Barcelona	Left Wing	Right Foot	0.3214285714285714	Left Wing
José Ignacio Peleteiro Ramallo	Deportivo Alavés	Left Center Midfield	Left Foot	0.0	Center Midfield
Luis Jesús Rioja González	Deportivo Alavés	Left Midfield	Left Foot	0.5	Left Wing
Héctor Junior Firpo Adames	Barcelona	Left Back	Left Foot	0.0952380952380952	Left Back
Alberto Soro Álvarez	Granada	Right Center Midfield	Left Foot	0.0	Center Midfield
Robert Kenedy Nunes do Nascimento	Getafe	Left Midfield	Left Foot	0.0	Left Wing
Jesús Vallejo Lázaro	Granada	Right Back	Right Foot	0.0	Right Back
Luis Milla Manzanares	Granada	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Carlos Neva Tey	Granada	Left Back	Left Foot	0.0	Left Back
Domingos Sousa Coutinho Meneses Duarte	Granada	Right Center Back	Right Foot	0.0	Center Back
José Antonio Rodríguez Díaz	Granada	Right Wing	Right Foot	0.0	Right Wing
Rui Tiago Dantas da Silva	Granada	Goalkeeper	Left Foot	0.0	Goalkeeper
Kang-In Lee	Valencia	Left Midfield	Not Specified	0.0	Left Wing
Manuel Javier Vallejo Galván	Valencia	Left Center Forward	Right Foot	0.0	Striker
Alejandro Blanco Sánchez	Valencia	Right Midfield	Left Foot	0.0	Right Wing
Yunus Dimoara Musah	Valencia	Right Midfield	Right Foot	0.0	Right Wing
Hugo Sotelo	Celta Vigo	Right Center Midfield	Not Specified	0.0	Center Midfield
Miralem Pjanić	Barcelona	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Miguel Baeza Pérez	Celta Vigo	Right Center Back	Left Foot	0.0	Center Back
Augusto Jorge Mateo Solari	Celta Vigo	Left Midfield	Right Foot	0.0	Left Wing
Kevin Vázquez Comesaña	Celta Vigo	Right Back	Right Foot	0.0	Right Back
Carlos Domínguez Cáceres	Celta Vigo	Left Center Back	Left Foot	0.0	Center Back
Iván Villar Martínez	Celta Vigo	Goalkeeper	Right Foot	0.0	Goalkeeper
Néstor Alejandro Araújo Razo	Celta Vigo	Center Back	Right Foot	0.0	Center Back
Francisco José Beltrán Peinado	Celta Vigo	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Adrián Marín Gómez	Deportivo Alavés	Left Back	Left Foot	0.0	Left Back
Maxime Gonalons	Granada	Left Center Midfield	Left Foot	0.0	Center Midfield
Aarón Escandell Banacloche	Granada	Goalkeeper	Right Foot	0.0	Goalkeeper
Germán Sánchez Barahona	Granada	Left Center Back	Right Foot	0.0	Center Back
Nehuén Pérez	Granada	Left Center Back	Right Foot	0.0	Center Back
Yangel Clemente Herrera Ravelo	Granada	Right Center Midfield	Right Foot	0.0	Center Midfield
Luis Javier Suárez Charris	Granada	Center Forward	Right Foot	0.0	Striker
Yan Brice Eteki	Granada	Left Center Midfield	Right Foot	0.0	Center Midfield
Christian Gabriel Oliva Giménez	Valencia	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Mouctar Diakhaby	Valencia	Left Center Back	Right Foot	0.5	Center Back
Antonio Latorre Grueso	Valencia	Left Back	Left Foot	0.0	Left Back
Uroš Račić	Valencia	Left Center Midfield	Right Foot	0.0	Center Midfield
Hugo Guillamón Sanmartín	Valencia	Center Back	Right Foot	0.0	Center Back
Thierry Rendall Correia	Valencia	Right Wing Back	Right Foot	0.0	Right Back
João Félix Sequeira	Atlético Madrid	Left Center Forward	Right Foot	0.0	Striker
Felipe Augusto de Almeida Monteiro	Atlético Madrid	Center Back	Right Foot	0.0	Center Back
Kieran Trippier	England	Right Wing Back	Right Foot	0.1333333333333333	Right Back
Thomas Lemar	Atlético Madrid	Left Wing	Left Foot	0.0	Left Wing
Giorgi Kochorashvili	Levante	Left Midfield	Right Foot	0.0	Left Wing
Daniel Gómez Alcón	Levante	Left Center Forward	Right Foot	0.0	Striker
Mickaël Malsa	Levante	Left Defensive Midfield	Right Foot	0.0	Defensive Midfield
Enis Bardhi	Levante	Left Center Midfield	Right Foot	0.0	Center Midfield
Óscar Esau Duarte Gaitán	Costa Rica	Left Center Back	Right Foot	0.0	Center Back
Aitor Fernández Abarisketa	Levante	Goalkeeper	Right Foot	0.0	Goalkeeper
Gonzalo Julián Melero Manzanares	Levante	Left Defensive Midfield	Right Foot	0.2	Defensive Midfield
Jorge Miramón Santagertrudis	Levante	Right Back	Right Foot	0.0	Right Back
Jorge De Frutos Sebastián	Levante	Right Midfield	Right Foot	0.0	Right Wing
Ricard Puig Martí	Barcelona	Left Center Midfield	Right Foot	0.0	Center Midfield
Martin Braithwaite Christensen	Barcelona	Center Forward	Right Foot	0.1020408163265306	Striker
Denis Vavro	Huesca	Right Center Back	Right Foot	0.0	Center Back
Javier Ontiveros Parra	Huesca	Left Wing	Right Foot	0.0	Left Wing
Francisco António Machado Mota de Castro Trincão	Barcelona	Right Wing	Left Foot	0.12	Right Wing
Moriba Kourouma Kourouma	Barcelona	Left Center Midfield	Right Foot	0.0769230769230769	Center Midfield
Ronald Federico Araújo da Silva	Barcelona	Right Center Back	Right Foot	0.074074074074074	Center Back
Sergio Gómez Martín	Huesca	Right Center Forward	Left Foot	0.0	Striker
Jaime Seoane Valenciano	Huesca	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Álvaro Fernández Llorente	Huesca	Goalkeeper	Right Foot	0.0	Goalkeeper
Pedro González López	Barcelona	Left Center Midfield	Right Foot	0.073170731707317	Center Midfield
Jorge Pulido Mayoral	Huesca	Right Center Back	Right Foot	0.0	Center Back
Daniel Escriche Romero	Huesca	Right Center Forward	Right Foot	0.0	Striker
Javier Galán Gil	Huesca	Left Back	Left Foot	0.0	Left Back
David Ferreiro Quiroga	Huesca	Left Center Midfield	Right Foot	0.0	Center Midfield
Idrissa Doumbia	Huesca	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Rafael Mir Vicente	Huesca	Center Forward	Right Foot	0.5	Striker
Frenkie de Jong	Barcelona	Right Center Midfield	Right Foot	0.0483870967741935	Center Midfield
Óscar Mingueza García	Barcelona	Right Center Back	Right Foot	0.0833333333333333	Center Back
Sergino Dest	Barcelona	Right Back	Right Foot	0.0714285714285714	Right Back
Jeremie Boga	Granada	Left Wing	Right Foot	0.0	Left Wing
Francisco Guillermo Ochoa Magaña	Mexico	Goalkeeper	Right Foot	0.0	Goalkeeper
Gabriel Moisés Antunes da Silva	Granada	Left Wing Back	Left Foot	0.0	Left Back
Mehdi Carcela-González	Granada	Left Center Forward	Left Foot	0.0	Striker
Matthieu Saunier	Granada	Left Center Back	Right Foot	0.0	Center Back
Jon Miquel Toral Harper	Granada	Right Center Midfield	Left Foot	0.0	Center Midfield
Artem Kravets	Granada	Center Forward	Right Foot	0.0	Striker
Erik Morán Arribas	Athletic Club	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Martín Maximiliano Mantovani	Leganés	Right Center Back	Right Foot	0.0	Center Back
Alberto Martín Romo García Adámez	Leganés	Right Center Midfield	Right Foot	0.0	Center Midfield
Ryan Guno Babel	Deportivo La Coruna	Right Center Forward	Right Foot	0.0	Striker
Sergio Álvarez Díaz	Eibar	Left Center Back	Right Foot	0.0	Center Back
Elderson Uwa Echiejile	Sporting Gijón	Left Back	Left Foot	0.0	Left Back
Juan Rodríguez Martínez	Sporting Gijón	Left Center Back	Right Foot	0.0	Center Back
Théo Bongonda Mbul''Ofeko Batombo	Celta Vigo	Left Wing	Left Foot	0.0	Left Wing
Marc Roca Junqué	Espanyol	Left Center Midfield	Left Foot	0.0	Center Midfield
Jon Bautista Orgilles	Real Sociedad	Center Forward	Right Foot	0.0	Striker
Federico Ricca Rostagnol	Málaga	Left Center Back	Left Foot	0.0	Center Back
Mariano Díaz Mejía	Real Madrid	Center Forward	Head	0.3333333333333333	Striker
Stevan Jovetić	Sevilla	Right Center Midfield	Right Foot	0.0	Center Midfield
Claudio Matías Kranevitter	Sevilla	Center Back	Right Foot	0.0	Center Back
Óscar Melendo Jiménez	Espanyol	Right Center Forward	Left Foot	0.0	Striker
Florian Lejeune	Deportivo Alavés	Left Center Back	Right Foot	0.0	Center Back
Yoel Rodríguez Oterino	Celta Vigo	Goalkeeper	Right Foot	0.0	Goalkeeper
Mauro Javier Dos Santos	Eibar	Right Center Back	Right Foot	0.0	Center Back
Yeray Álvarez López	Athletic Club	Right Center Back	Right Foot	0.0	Center Back
Marko Livaja	Las Palmas	Right Midfield	Right Foot	0.0	Right Wing
Mateo Ezequiel García	Las Palmas	Right Center Midfield	Left Foot	0.0	Center Midfield
Aleksandar Katai	Deportivo Alavés	Right Midfield	Right Foot	0.0	Right Wing
Nenad Krstičić	Deportivo Alavés	Left Center Forward	Left Foot	0.0	Striker
Bruno Alexandre Vilela Gama	Deportivo La Coruna	Right Wing	Right Foot	0.0	Right Wing
José Luis Sanmartín Mato	Deportivo Alavés	Center Forward	Right Foot	0.2	Striker
Luís Carlos Almeida da Cunha	Manchester United	Left Wing	Right Foot	0.0	Left Wing
Eliaquim Mangala	Valencia	Left Center Back	Left Foot	0.5	Center Back
Miguel Olavide Montes	Osasuna	Right Midfield	Not Specified	0.0	Right Wing
Carles Aleña Castillo	Barcelona	Left Center Midfield	Left Foot	0.0833333333333333	Center Midfield
Aitor Buñuel Redrado	Osasuna	Right Back	Right Foot	0.0	Right Back
Jaime Romero Gómez	Granada	Right Midfield	Left Foot	0.0	Right Wing
Jhon Stiven Mondragón Dosman	Osasuna	Left Center Back	Right Foot	0.0	Center Back
Salvatore Sirigu	Italy	Goalkeeper	Right Foot	0.0	Goalkeeper
Fausto Antonio Tienza Nuñez	Osasuna	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Francisco Mérida Pérez	Atlético Madrid	Center Attacking Midfield	Left Foot	0.0	Attacking Midfield
Alexandre Rodrigues da Silva	Villarreal	Left Center Forward	Right Foot	0.0	Striker
Javi Castellano Betancor	Las Palmas	Left Center Midfield	Right Foot	0.0	Center Midfield
Kevin-Prince Boateng	Las Palmas	Center Forward	Right Foot	0.0	Striker
Hélder Filipe Oliveira Lopes	Las Palmas	Left Back	Left Foot	0.0	Left Back
Marlon Santos da Silva Barbosa	Barcelona	Right Center Back	Right Foot	0.0	Center Back
Rafael Jesús Navarro Mazuelos	Real Betis	Right Wing Back	Right Foot	0.0	Right Back
Ryan Donk	Real Betis	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Cristiano Piccini	Valencia	Right Back	Right Foot	0.0	Right Back
Alexander Alegría Moreno	Real Betis	Right Center Forward	Right Foot	1.0	Striker
Jonas Martin	Real Betis	Right Center Midfield	Right Foot	0.0	Center Midfield
Felipe Alejandro Gutiérrez Leiva	Real Betis	Left Center Midfield	Left Foot	0.0	Center Midfield
Mikel Vesga Arruti	Athletic Club	Left Defensive Midfield	Left Foot	0.0	Defensive Midfield
Cristian Omar Espinoza	Deportivo Alavés	Right Wing	Right Foot	0.0	Right Wing
Daniel Alejandro Torres Rojas	Deportivo Alavés	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Francisco Femenía Far	Deportivo Alavés	Right Wing Back	Right Foot	0.0	Right Back
Marcos Llorente Moreno	Spain	Right Back	Right Foot	0.0	Right Back
Theo Bernard François Hernández	Deportivo Alavés	Left Back	Left Foot	0.0	Left Back
Carl Medjani	Leganés	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Jon Ander Serantes Simon	Leganés	Goalkeeper	Right Foot	0.0	Goalkeeper
Pablo Ínsua Blanco	Huesca	Left Center Back	Right Foot	0.0	Center Back
Lluis Sastre Reus	Real Valladolid	Left Center Midfield	Right Foot	0.0	Center Midfield
Víctor David Díaz Miguel	Granada	Right Back	Right Foot	0.0	Right Back
Mamadou Koné	Leganés	Center Forward	Right Foot	0.0	Striker
Darwin Daniel Machís Marcano	Granada	Left Wing	Right Foot	0.1666666666666666	Left Wing
Kenan Kodro	Osasuna	Center Forward	Right Foot	0.0	Striker
Cayetano Bartolomé Bonnín Vásquez	Osasuna	Right Back	Right Foot	0.0	Right Back
David García Zubiría	Osasuna	Left Center Back	Right Foot	0.0	Center Back
Iván Márquez Álvarez	Osasuna	Left Center Back	Right Foot	0.0	Center Back
Oier Sanjurjo Mate	Osasuna	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Roberto Torres Morales	Osasuna	Right Center Midfield	Right Foot	0.2857142857142857	Center Midfield
Cecilio Nauzet Pérez González	Osasuna	Goalkeeper	Right Foot	0.0	Goalkeeper
Carlos Clerc Martínez	Levante	Left Back	Left Foot	0.0	Left Back
Goran Čaušić	Osasuna	Right Center Midfield	Not Specified	0.0	Center Midfield
Alejandro Berenguer Remiro	Athletic Club	Right Midfield	Right Foot	0.0	Right Wing
Paulo Henrique Chagas de Lima	Sevilla	Left Center Forward	Left Foot	0.0	Striker
Mariano Ferreira Filho	Sevilla	Right Back	Right Foot	0.0	Right Back
Samir Nasri	Sevilla	Left Center Midfield	Right Foot	0.0	Center Midfield
Lucas Ariel Boyé	Celta Vigo	Center Forward	Right Foot	0.0	Striker
Emre Mor	Celta Vigo	Left Midfield	Left Foot	0.0	Left Wing
Igor Zubeldía Elorza	Real Sociedad	Right Center Back	Right Foot	0.0	Center Back
Kévin Manuel Rodrigues	Leganés	Left Back	Left Foot	0.0	Left Back
Federico Santiago Valverde Dipetta	Real Madrid	Right Center Midfield	Right Foot	0.1666666666666666	Center Midfield
Carles Gil de Pareja Vicent	Deportivo La Coruna	Right Wing	Left Foot	0.0	Right Wing
Enzo Alan Zidane Fernández	Deportivo Alavés	Right Center Midfield	Right Foot	0.0	Center Midfield
