player_name	team	position	foot	goals	agg_position
László Kleinheisler	Hungary	Right Center Midfield	Right Foot	0.0	Center Midfield
Endre Botka	Hungary	Right Center Back	Right Foot	0.0	Center Back
Loïc Négo	Hungary	Right Wing Back	Right Foot	0.0	Right Back
Attila Szalai	Hungary	Left Center Back	Left Foot	0.0	Center Back
Stefan Ilsanker	Austria	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Christopher Trimmel	Austria	Right Back	Head	0.0	Right Back
Louis Schaub	Austria	Left Defensive Midfield	Left Foot	0.0	Defensive Midfield
Michael Gregoritsch	Austria	Left Center Forward	Left Foot	0.3333333333333333	Striker
Sasa Kalajdzic	Austria	Center Forward	Right Foot	0.25	Striker
Alessandro Schöpf	Austria	Right Wing	Right Foot	0.0	Right Wing
Matteo Pessina	Italy	Left Center Midfield	Left Foot	0.5	Center Midfield
Francesco Acerbi	Italy	Left Center Back	Left Foot	0.0	Center Back
Martin Hinteregger	Austria	Left Center Back	Left Foot	0.0	Center Back
Xaver Schlager	Austria	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Stefan Lainer	Austria	Right Back	Right Foot	0.25	Right Back
Konrad Laimer	Austria	Right Center Midfield	Right Foot	0.0	Center Midfield
Christoph Baumgartner	Austria	Left Wing	Right Foot	0.25	Left Wing
Marko Arnautović	Austria	Center Forward	Right Foot	0.3333333333333333	Striker
Daniel Bachmann	Austria	Goalkeeper	Right Foot	0.0	Goalkeeper
Aleksandar Dragović	Austria	Right Center Back	Right Foot	0.0	Center Back
Florian Grillitsch	Austria	Left Center Midfield	Right Foot	0.0	Center Midfield
Marcel Sabitzer	Austria	Center Attacking Midfield	Right Foot	0.0	Attacking Midfield
Danilo Luís Hélio Pereira	Portugal	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Sérgio Miguel Relvas de Oliveira	Portugal	Left Center Midfield	Left Foot	0.0	Center Midfield
João Maria Lobo Alves Palhinha Gonçalves	Portugal	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Diogo José Teixeira da Silva	Portugal	Left Midfield	Right Foot	0.25	Left Wing
Rúben Santos Gato Alves Dias	Portugal	Left Center Back	Right Foot	0.0	Center Back
Renato Júnior Luz Sanches	Portugal	Left Center Midfield	Right Foot	0.0	Center Midfield
José Diogo Dalot Teixeira	Portugal	Right Back	Right Foot	0.0	Right Back
Luka Ivanušec	Croatia	Right Wing	Right Foot	0.0	Right Wing
Daniel Olmo Carvajal	Spain	Left Wing	Right Foot	0.2	Left Wing
Josip Brekalo	Croatia	Left Wing	Right Foot	0.0	Left Wing
Mislav Oršić	Croatia	Left Wing	Right Foot	1.0	Left Wing
Josip Juranović	Croatia	Right Back	Right Foot	0.0	Right Back
Nikola Vlašić	Croatia	Right Wing	Right Foot	0.25	Right Wing
Dominik Livaković	Croatia	Goalkeeper	Right Foot	0.0	Goalkeeper
Eric García Martret	Spain	Right Center Back	Right Foot	0.0	Center Back
Bruno Petković	Croatia	Center Forward	Right Foot	0.0	Striker
Joško Gvardiol	Croatia	Left Back	Left Foot	0.0	Left Back
Roman Bezus	Ukraine	Right Center Midfield	Right Foot	0.0	Center Midfield
Artem Dovbyk	Ukraine	Right Center Forward	Left Foot	1.0	Striker
Filip Helander	Sweden	Left Center Back	Left Foot	0.0	Center Back
Robin Quaison	Sweden	Right Center Forward	Head	0.0	Striker
Viktor Tsygankov	Ukraine	Left Wing	Left Foot	0.0	Left Wing
Evgeny Makarenko	Ukraine	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Artem Besedin	Ukraine	Center Forward	Right Foot	0.0	Striker
Pierre Bengtsson	Sweden	Left Back	Left Foot	0.0	Left Back
Ruslan Malinovskiy	Ukraine	Left Wing	Left Foot	0.0	Left Wing
Oleksandr Karavaev	Ukraine	Right Back	Right Foot	0.0	Right Back
Marcus Andreas Danielsson	Sweden	Left Center Back	Right Foot	0.0	Center Back
Serhii Sydorchuk	Ukraine	Center Defensive Midfield	Right Foot	0.0	Defensive Midfield
Andriy Yarmolenko	Ukraine	Right Wing	Left Foot	0.4	Right Wing
Heorhii Bushchan	Ukraine	Goalkeeper	Right Foot	0.0	Goalkeeper
Oleksandr Zinchenko	Ukraine	Left Center Midfield	Left Foot	0.2	Center Midfield
Mykola Shaparenko	Ukraine	Right Center Midfield	Right Foot	0.0	Center Midfield
Kristoffer Olsson	Sweden	Right Defensive Midfield	Right Foot	0.0	Defensive Midfield
Dejan Kulusevski	Sweden	Right Center Forward	Left Foot	0.0	Striker
Illia Zabarnyi	Ukraine	Right Center Back	Right Foot	0.0	Center Back
Sergey Krivtsov	Ukraine	Center Back	Right Foot	0.0	Center Back
Mykola Matviyenko	Ukraine	Left Center Back	Left Foot	0.0	Center Back
Taras Stepanenko	Ukraine	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Roman Yaremchuk	Ukraine	Center Forward	Right Foot	0.4	Striker
Jamal Musiala	Germany	Left Midfield	Not Specified	0.0	Left Wing
Leroy Sané	Germany	Center Forward	Left Foot	0.0	Striker
Serge Gnabry	Germany	Center Forward	Right Foot	0.0	Striker
Kai Havertz	Germany	Right Wing	Left Foot	0.5	Right Wing
Robin Gosens	Germany	Left Wing Back	Left Foot	0.25	Left Back
Matthias Ginter	Germany	Right Center Back	Right Foot	0.0	Center Back
Jadon Sancho	England	Right Wing	Right Foot	0.0	Right Wing
Alessandro Florenzi	Italy	Left Back	Right Foot	0.0	Left Back
Manuel Locatelli	Italy	Left Center Midfield	Right Foot	0.4	Center Midfield
Federico Bernardeschi	Italy	Left Wing	Left Foot	0.5	Left Wing
Jonas Older Wind	Denmark	Center Forward	Right Foot	0.0	Striker
Philip Foden	England	Right Wing	Left Foot	0.0	Right Wing
Mathias Jensen	Denmark	Left Center Midfield	Right Foot	0.0	Center Midfield
